,DC_Tilburg,Store_1004,Store_1005,Store_1007,Store_1015,Store_1018,Store_1019,Store_1021,Store_1029,Store_1041,Store_1045,Store_1049,Store_1050,Store_1052,Store_1053,Store_1058,Store_1071,Store_1074,Store_1077,Store_1082,Store_1092,Store_1094,Store_1095,Store_1097,Store_1100,Store_1102,Store_1128,Store_1137,Store_1142,Store_1143,Store_1153,Store_1160,Store_1165,Store_1169,Store_1174,Store_1175,Store_1178,Store_1179,Store_1187,Store_1188,Store_1189,Store_1191,Store_1192,Store_1194,Store_1198,Store_1199,Store_1205,Store_1208,Store_1219,Store_1222
DC_Tilburg,0.0,15.0,30.0,35.0,60.0,75.0,90.0,65.0,35.0,35.0,30.0,15.0,30.0,105.0,35.0,100.0,30.0,95.0,35.0,45.0,55.0,55.0,15.0,10.0,30.0,105.0,25.0,50.0,40.0,30.0,100.0,125.0,40.0,105.0,30.0,75.0,65.0,35.0,55.0,35.0,10.0,50.0,40.0,105.0,30.0,70.0,15.0,35.0,35.0,40.0
Store_1004,15.0,0.0,25.0,30.0,70.0,80.0,95.0,75.0,30.0,40.0,30.0,10.0,35.0,110.0,45.0,105.0,25.0,100.0,40.0,50.0,60.0,60.0,5.0,10.0,30.0,100.0,30.0,55.0,45.0,25.0,105.0,120.0,45.0,110.0,25.0,80.0,70.0,40.0,65.0,40.0,10.0,55.0,50.0,110.0,35.0,75.0,20.0,40.0,35.0,45.0
Store_1005,30.0,25.0,0.0,10.0,80.0,90.0,105.0,85.0,10.0,50.0,5.0,25.0,45.0,120.0,55.0,115.0,15.0,110.0,55.0,65.0,60.0,60.0,25.0,25.0,40.0,90.0,45.0,70.0,35.0,15.0,115.0,110.0,60.0,120.0,10.0,90.0,80.0,50.0,75.0,50.0,30.0,70.0,60.0,120.0,45.0,90.0,35.0,50.0,45.0,55.0
Store_1007,35.0,30.0,10.0,0.0,80.0,95.0,110.0,85.0,10.0,55.0,10.0,25.0,45.0,125.0,60.0,120.0,15.0,115.0,55.0,65.0,60.0,60.0,25.0,30.0,40.0,90.0,45.0,70.0,35.0,15.0,120.0,110.0,60.0,125.0,10.0,95.0,80.0,55.0,80.0,55.0,35.0,70.0,65.0,125.0,45.0,95.0,35.0,55.0,45.0,55.0
Store_1015,60.0,70.0,80.0,80.0,0.0,75.0,105.0,10.0,85.0,60.0,80.0,65.0,45.0,120.0,60.0,115.0,75.0,110.0,65.0,75.0,40.0,35.0,70.0,65.0,50.0,155.0,45.0,75.0,60.0,75.0,115.0,180.0,40.0,120.0,80.0,60.0,5.0,55.0,55.0,55.0,65.0,60.0,65.0,120.0,40.0,75.0,60.0,65.0,45.0,35.0
Store_1018,75.0,80.0,90.0,95.0,75.0,0.0,40.0,75.0,95.0,50.0,95.0,75.0,80.0,55.0,50.0,45.0,95.0,45.0,45.0,45.0,105.0,95.0,80.0,75.0,75.0,145.0,75.0,40.0,110.0,95.0,50.0,165.0,70.0,55.0,90.0,25.0,75.0,60.0,50.0,55.0,80.0,55.0,50.0,50.0,80.0,10.0,75.0,50.0,80.0,90.0
Store_1019,90.0,95.0,105.0,110.0,105.0,35.0,0.0,105.0,110.0,65.0,110.0,90.0,95.0,25.0,65.0,20.0,110.0,20.0,60.0,60.0,120.0,120.0,95.0,90.0,90.0,120.0,90.0,55.0,125.0,110.0,25.0,145.0,85.0,25.0,105.0,50.0,105.0,75.0,70.0,70.0,95.0,70.0,65.0,25.0,95.0,35.0,90.0,65.0,95.0,105.0
Store_1021,65.0,75.0,85.0,85.0,10.0,75.0,105.0,0.0,90.0,65.0,85.0,70.0,50.0,120.0,65.0,115.0,80.0,110.0,70.0,80.0,45.0,40.0,75.0,70.0,55.0,160.0,50.0,75.0,65.0,80.0,115.0,185.0,45.0,120.0,80.0,60.0,5.0,60.0,55.0,60.0,70.0,60.0,70.0,120.0,45.0,75.0,65.0,70.0,50.0,40.0
Store_1029,35.0,30.0,10.0,10.0,85.0,95.0,110.0,90.0,0.0,55.0,10.0,30.0,50.0,125.0,60.0,120.0,20.0,115.0,60.0,70.0,65.0,65.0,30.0,30.0,45.0,90.0,50.0,75.0,40.0,20.0,120.0,110.0,65.0,125.0,15.0,95.0,85.0,55.0,80.0,55.0,35.0,75.0,65.0,120.0,50.0,95.0,40.0,55.0,50.0,60.0
Store_1041,35.0,40.0,50.0,55.0,60.0,50.0,65.0,65.0,55.0,0.0,50.0,35.0,40.0,80.0,10.0,75.0,55.0,70.0,10.0,20.0,65.0,65.0,40.0,35.0,35.0,110.0,30.0,30.0,70.0,50.0,75.0,130.0,30.0,80.0,50.0,50.0,65.0,15.0,35.0,10.0,35.0,25.0,15.0,80.0,40.0,50.0,35.0,5.0,40.0,45.0
Store_1045,30.0,30.0,5.0,10.0,80.0,95.0,110.0,85.0,10.0,55.0,0.0,25.0,45.0,125.0,55.0,120.0,15.0,115.0,55.0,65.0,60.0,60.0,30.0,30.0,40.0,90.0,45.0,70.0,35.0,15.0,120.0,110.0,60.0,125.0,10.0,95.0,80.0,50.0,75.0,50.0,35.0,70.0,60.0,120.0,50.0,90.0,35.0,55.0,45.0,60.0
